source,h2,ch4,c2h6,c2h4,c2h2,co,co2,scale,source_scale,label_raw,label_std
alan456/data.xlsx,18,21,12,6,2,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,9.25,96.88,446.52,84.25,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,24.16,261.05,201.4,196,0.87,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,170,300,580,44,8.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,72,442,461,221,0.7,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,1308,125,6,112,0,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,32.4,5.5,12.6,1.4,13.2,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,68,8,8,3,11,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,19,10,9.5,7.9,8.5,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,45,168,330,82,3.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,50.11,15.97,45.37,4.66,12.3,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,345,112.3,51.5,27.5,58.58,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,336,419,1074,105,21,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,6.9,80.6,351,47.4,4.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,18,21,12,6,2,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,112,93.3,123.6,132,0.5,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,143,305,721,78,2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,7.8,111,701,129,2.8,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,23,61,153,14,4.4,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,166.6,28.7,12.4,6.72,0.7,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,14.67,3.68,2.71,10.54,0.2,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,12,12,12,12,12,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,11,31,52,26,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,4683,148,1364,44.7,12078,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,345,112.3,51.5,27.5,58.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,345,112.25,51.5,27.5,345,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,6.17,116.06,488.86,92.57,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,18,135,208,59,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,29,7.52,14.8,5.5,5.4,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,44.3,17.3,23.3,3.6,10.4,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,181,316,593,115,2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,49.1,12.2,3.9,0.3,4.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,121,14,29,3,74,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,60,40,110,9.9,70,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,279,487,708,109,4.4,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,16.99,185.09,699.2,125.14,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,32.2,5.5,12.6,1.4,13.2,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,44.6,63.2,129,20.1,0.66,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,74.8,482,1409,297,7.5,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,15.91,191.46,734.87,132.1,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,9,16.7,85.3,9.9,3.4,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,181,262,528,210,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,14.67,3.68,2.71,10.54,0.2,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,160,130,96,33,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,17.04,192.37,733.63,132.09,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,217.5,40,51.8,4.9,67.5,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,82,161,406,79,8.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,345,112.25,51.5,27.5,58.75,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,207,416,1345,347,20,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,29.9,34.6,70,5.6,1.2,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,10.48,148.49,576.66,105.45,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,21,7.6,96.3,4.7,26.73,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,334,39.9,5.4,47.8,247.6,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,65,26.1,41.6,10.1,57.8,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,4.32,193,125,118,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,49,41.6,124,25.1,15.7,,,μL/L,μL/L,高能放电,高能放电
